Country,ISO3,Project_007_Region,Official_Region,Sub_Region,Source,Notes
Algeria,DZA,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Angola,AGO,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Benin,BEN,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Botswana,BWA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Burkina Faso,BFA,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Burundi,BDI,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Cabo Verde,CPV,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Cameroon,CMR,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Central African Republic,CAF,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Chad,TCD,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
