ISO3,Country,Project_007_Region,gdp_current_usd
USA,United States,North America,27811517000000.0
CHN,China,East Asia,18270356654533.2
DEU,Germany,Europe,4562207532490.28
JPN,Japan,East Asia,4384854269961.93
IND,India,South & Southeast Asia,3500906030644.76
GBR,United Kingdom,Europe,3420796653789.08
FRA,France,Europe,3056250648138.29
ITA,Italy,Europe,2316882296366.32
CAN,Canada,North America,2196593836347.42
BRA,Brazil,Latin America,2191131765684.63
RUS,Russian Federation,Europe,2046284838151.09
KOR,"Korea, Rep.",East Asia,1844800934391.54
MEX,Mexico,Latin America,1794410347718.25
AUS,Australia,Oceania,1734451264655.6
ESP,Spain,Europe,1619481980719.64
IDN,Indonesia,South & Southeast Asia,1371166925749.88
SAU,Saudi Arabia,Middle East,1218584800000.0
TUR,Turkiye,Middle East,1141242864657.45
NLD,Netherlands,Europe,1135475867551.0
CHE,Switzerland,Europe,928435275851.707
POL,Poland,Europe,812451193396.143
BEL,Belgium,Europe,650779364363.737
ARG,Argentina,Latin America,649461687959.174
ARE,United Arab Emirates,Middle East,522622268401.125
THA,Thailand,South & Southeast Asia,517013369475.121
ISR,Israel,Middle East,513393395491.904
SGP,Singapore,South & Southeast Asia,511181761243.76
IRN,"Iran, Islamic Rep.",Middle East,457510482317.483
BGD,Bangladesh,South & Southeast Asia,437415333018.291
PHL,Philippines,South & Southeast Asia,437055627245.138
VNM,Viet Nam,South & Southeast Asia,433805036898.465
MYS,Malaysia,South & Southeast Asia,399949418752.657
EGY,"Egypt, Arab Rep.",Africa,395926071447.591
ZAF,South Africa,Africa,381440724491.232
HKG,"Hong Kong SAR, China",East Asia,380762296025.216
COL,Colombia,Latin America,366901643683.302
PAK,Pakistan,South & Southeast Asia,336686348609.266
CHL,Chile,Latin America,335802745366.38
IRQ,Iraq,Middle East,268881051643.549
PER,Peru,Latin America,268025009709.319
NZL,New Zealand,Oceania,256372177757.764
DZA,Algeria,Africa,247923887214.655
QAT,Qatar,Middle East,235709325714.286
KWT,Kuwait,Middle East,165462656226.772
MAR,Morocco,Africa,146036093666.762
ETH,Ethiopia,Africa,135874093203.18
ECU,Ecuador,Latin America,120792801000.0
DOM,Dominican Republic,Latin America,120456239153.739
PRI,Puerto Rico (US),Latin America,118478754280.882
KEN,Kenya,Africa,107500884685.013
CUB,Cuba,Latin America,107352000000.0
OMN,Oman,Middle East,106174707932.38
AGO,Angola,Africa,106042349567.303
LKA,Sri Lanka,South & Southeast Asia,84080307355.5983
CIV,Cote d'Ivoire,Africa,80780312569.1646
GHA,Ghana,Africa,80547146875.9526
TZA,Tanzania,Africa,79030935638.1317
AZE,Azerbaijan,Middle East,72428470588.2353
MAC,"Macao SAR, China",East Asia,45626467279.891
MNG,Mongolia,East Asia,20325121393.9074
NCL,New Caledonia,Oceania,9769167530.35744
BMU,Bermuda,North America,8602360000.0
GUM,Guam,Oceania,6910000000.0
PYF,French Polynesia,Oceania,6137447782.87066
FJI,Fiji,Oceania,5476673518.13788
GRL,Greenland,North America,3326543974.39193
SLB,Solomon Islands,Oceania,1506124566.40404
VUT,Vanuatu,Oceania,1188137265.19047
MNP,Northern Mariana Islands,Oceania,1096000000.0
WSM,Samoa,Oceania,1044909500.02527
