ISO3,Country,Project_007_Region,gdp_current_usd,comtradeReporterCode
USA,United States,North America,27811517000000.0,841
CHN,China,East Asia,18270356654533.2,156
DEU,Germany,Europe,4562207532490.28,276
JPN,Japan,East Asia,4384854269961.93,392
IND,India,South & Southeast Asia,3500906030644.76,356
GBR,United Kingdom,Europe,3420796653789.08,826
FRA,France,Europe,3056250648138.29,251
ITA,Italy,Europe,2316882296366.32,380
CAN,Canada,North America,2196593836347.42,124
BRA,Brazil,Latin America,2191131765684.63,76
RUS,Russian Federation,Europe,2046284838151.09,643
KOR,"Korea, Rep.",East Asia,1844800934391.54,410
MEX,Mexico,Latin America,1794410347718.25,484
AUS,Australia,Oceania,1734451264655.6,36
ESP,Spain,Europe,1619481980719.64,724
IDN,Indonesia,South & Southeast Asia,1371166925749.88,360
SAU,Saudi Arabia,Middle East,1218584800000.0,682
TUR,Turkiye,Middle East,1141242864657.45,792
NLD,Netherlands,Europe,1135475867551.0,528
CHE,Switzerland,Europe,928435275851.707,757
POL,Poland,Europe,812451193396.143,616
BEL,Belgium,Europe,650779364363.737,58
ARG,Argentina,Latin America,649461687959.174,32
ARE,United Arab Emirates,Middle East,522622268401.125,784
THA,Thailand,South & Southeast Asia,517013369475.121,764
ISR,Israel,Middle East,513393395491.904,376
SGP,Singapore,South & Southeast Asia,511181761243.76,702
IRN,"Iran, Islamic Rep.",Middle East,457510482317.483,364
BGD,Bangladesh,South & Southeast Asia,437415333018.291,50
PHL,Philippines,South & Southeast Asia,437055627245.138,608
VNM,Viet Nam,South & Southeast Asia,433805036898.465,704
MYS,Malaysia,South & Southeast Asia,399949418752.657,458
EGY,"Egypt, Arab Rep.",Africa,395926071447.591,818
ZAF,South Africa,Africa,381440724491.232,710
HKG,"Hong Kong SAR, China",East Asia,380762296025.216,344
COL,Colombia,Latin America,366901643683.302,170
PAK,Pakistan,South & Southeast Asia,336686348609.266,586
CHL,Chile,Latin America,335802745366.38,152
IRQ,Iraq,Middle East,268881051643.549,368
PER,Peru,Latin America,268025009709.319,604
NZL,New Zealand,Oceania,256372177757.764,554
DZA,Algeria,Africa,247923887214.655,12
QAT,Qatar,Middle East,235709325714.286,634
KWT,Kuwait,Middle East,165462656226.772,414
MAR,Morocco,Africa,146036093666.762,504
ETH,Ethiopia,Africa,135874093203.18,230
ECU,Ecuador,Latin America,120792801000.0,218
DOM,Dominican Republic,Latin America,120456239153.739,214
KEN,Kenya,Africa,107500884685.013,404
CUB,Cuba,Latin America,107352000000.0,192
OMN,Oman,Middle East,106174707932.38,512
AGO,Angola,Africa,106042349567.303,24
LKA,Sri Lanka,South & Southeast Asia,84080307355.5983,144
CIV,Cote d'Ivoire,Africa,80780312569.1646,384
GHA,Ghana,Africa,80547146875.9526,288
TZA,Tanzania,Africa,79030935638.1317,834
AZE,Azerbaijan,Middle East,72428470588.2353,31
MAC,"Macao SAR, China",East Asia,45626467279.891,446
MNG,Mongolia,East Asia,20325121393.9074,496
