material,country,production_2023,share_pct
Copper,United States,1130.0,5.78
Copper,Australia,778.0,3.98
Copper,Canada,500.0,2.56
Copper,Chile,5250.0,26.87
Copper,China,1820.0,9.32
Copper,Congo (Kinshasa),2930.0,15.0
Copper,India,27.0,0.14
Copper,Indonesia,907.0,4.64
Copper,Kazakhstan,740.0,3.79
Copper,Mexico,699.0,3.58
Copper,Peru,2760.0,14.13
Copper,Poland,395.0,2.02
Copper,Russia,890.0,4.56
Copper,Zambia,712.0,3.64
Copper (refined),United States,882.0,3.6
Copper (refined),Australia,442.0,1.8
Copper (refined),Canada,315.0,1.29
Copper (refined),Chile,2080.0,8.49
Copper (refined),China,12000.0,48.96
Copper (refined),Congo (Kinshasa),2170.0,8.85
Copper (refined),Germany,609.0,2.48
Copper (refined),India,509.0,2.08
Copper (refined),Indonesia,225.0,0.92
Copper (refined),Japan,1490.0,6.08
Copper (refined),Kazakhstan,458.0,1.87
Copper (refined),"Korea, Republic of",604.0,2.46
Copper (refined),Mexico,509.0,2.08
Copper (refined),Peru,403.0,1.64
Copper (refined),Poland,592.0,2.42
Copper (refined),Russia,1000.0,4.08
Copper (refined),Zambia,222.0,0.91
Lithium,Argentina,8630.0,4.23
Lithium,Australia,91700.0,44.97
Lithium,Brazil,5260.0,2.58
Lithium,Canada,3240.0,1.59
Lithium,Chile,41400.0,20.3
Lithium,China,35700.0,17.51
Lithium,Namibia,2700.0,1.32
Lithium,Portugal,380.0,0.19
Lithium,Zimbabwe,14900.0,7.31
Cobalt,Australia,5220.0,2.26
Cobalt,Canada,4220.0,1.82
Cobalt,Congo (Kinshasa),175000.0,75.63
Cobalt,Cuba,3300.0,1.43
Cobalt,Indonesia,19000.0,8.21
Cobalt,Madagascar,4000.0,1.73
Cobalt,New Caledonia,2570.0,1.11
Cobalt,Papua New Guinea,3070.0,1.33
Cobalt,Philippines,3800.0,1.64
Cobalt,Russia,8700.0,3.76
Cobalt,Turkey,2500.0,1.08
Nickel,United States,16400.0,0.48
