material,n_producing_countries,total_production_2023,unit,top_producer,top_producer_share_pct,HHI,CR3_pct,CR5_pct
Gallium,4,633000.0,kilograms,China,98.1,9625.8,99.5,100.0
Tungsten,10,78180.0,metric tons,China,84.42,7166.2,91.5,95.4
Graphite,18,1532720.0,metric tons,China,78.94,6314.3,89.7,95.4
Cobalt,11,231380.0,metric tons,Congo (Kinshasa),75.63,5822.2,87.6,91.7
Silicon,14,5071.0,thousand metric tons,China,71.78,5283.2,84.9,90.8
Rare earths,12,374650.0,metric tons,China,68.06,4911.9,90.6,96.8
Nickel,9,3408100.0,metric tons,Indonesia,59.56,3837.4,78.5,89.3
Aluminum (refined),19,139208.0,thousand metric dry tons,China,59.19,3794.6,80.6,88.2
Lithium,9,203910.0,metric tons,Australia,44.97,2823.4,82.8,94.3
Copper (refined),17,24510.0,thousand metric tons,China,48.96,2653.5,66.3,76.5
Manganese,9,18326.0,thousand metric tons,South Africa,39.83,2503.3,79.9,88.6
Titanium Mineral Concentrates,11,8480.0,metric tons,China,38.33,2259.8,75.1,84.1
Bauxite,13,433220.0,thousand metric dry tons,Guinea,28.39,1963.1,73.4,87.7
Tin,14,303420.0,metric tons,China,23.07,1450.4,57.0,75.3
Copper,14,19538.0,thousand metric tons,Chile,26.87,1375.9,56.0,71.1
