ISO3,Year,trade_pct_of_gdp,merchandise_exports_current_usd,merchandise_imports_current_usd,merchandise_export_price_index,high_tech_exports_pct_of_manuf_exports,logistics_performance_index_overall,logistics_performance_index_customs,logistics_performance_index_infrastructure,logistics_performance_index_timeliness,container_port_traffic_teu,air_freight_million_ton_km,rail_freight_million_ton_km,gdp_current_usd,gdp_growth_annual_pct,gdp_per_capita_ppp_current_intl,inflation_cpi_annual_pct,official_exchange_rate_lcu_per_usd,Country,Region,Official_Region,Sub_Region,export_cagr_nominal_pct,cagr_start_year,cagr_end_year
AFG,2022,72.8854696086536,615000000.0,4232000000.0,78.2,,1.9,2.1,1.7,2.3,,2.444208,,14497243872.1337,-6.24017199240269,2122.65936199211,13.7121023720065,,Afghanistan,South & Southeast Asia,"Middle East, North Africa, Afghanistan & Pakistan",Southern Asia,5.01072248200265,2013.0,2025.0
AGO,2022,56.5380722280743,51275000000.0,17803000000.0,154.5,22.0635039995781,2.1,1.7,2.1,2.1,678333.0,60.34331,,128233959333.275,3.55749206675667,9373.4083091956,21.3552901320822,460.567511631462,Angola,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,-5.997138653237267,2013.0,2025.0
ALB,2022,84.6980435944865,4309000000.0,8399000000.0,176.0,0.0596409977568037,2.5,2.4,2.7,2.5,132965.0,,,19017247013.8821,4.8268006234359,22138.4966146921,6.72520271530059,113.041666666667,Albania,Europe,Europe & Central Asia,Southern Europe,5.300383174959045,2013.0,2025.0
ARE,2022,185.741660631894,515621000000.0,420493000000.0,170.5,9.2877602243891,4.0,3.7,4.1,4.2,20391675.0,12994.52127,,511403404642.173,7.51452414254605,75059.7702106115,5.29122604376849,3.6725,United Arab Emirates,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Western Asia,5.440656959789525,2013.0,2025.0
ARG,2022,31.5801792606256,88703000000.0,81740000000.0,156.2,4.75157524338594,2.8,2.7,2.8,3.1,1667161.0,130.623464,,633993756301.08,6.02074537534855,29804.0832363731,72.430757531824,130.61655,Argentina,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,1.1476757376074787,2013.0,2025.0
ARM,2022,103.878629213508,5360000000.0,8769000000.0,361.5,21.8475283435373,2.5,2.5,2.6,2.7,,2.381267,,19513506553.1251,12.5999999997766,19158.3333506542,8.64091108973855,435.6661796523,Armenia,Middle East,Europe & Central Asia,Western Asia,15.56152085119864,2013.0,2025.0
ATG,2022,118.302584056113,22000000.0,820000000.0,32.9,0.0,2.9,2.2,2.7,3.4,28000.0,0.701661,,1857114814.81481,8.49776342254205,29761.8058055292,7.53107834634288,2.7,Antigua and Barbuda,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,-6.202396888352213,2013.0,2025.0
AUS,2022,45.6946418805752,412683000000.0,309189000000.0,219.9,25.8318704116272,3.7,3.7,4.1,3.6,9377619.0,1196.58506186,,1695627535475.8,4.25304559238732,66103.1797066957,6.59409658717841,1.44166445896522,Australia,Oceania,East Asia & Pacific,Australia and New Zealand,2.43324902141957,2013.0,2025.0
AUT,2022,123.579578652902,211929000000.0,233519000000.0,138.8,14.9141702472602,4.0,3.7,3.9,4.3,,205.311831,,473221298968.216,5.33096379400371,72286.6352565355,8.54686993188458,0.949623753156941,Austria,Europe,Europe & Central Asia,Western Europe,1.9957455923031553,2013.0,2025.0
AZE,2014,69.4832251953347,28260000000.0,9188000000.0,171.7,7.72948174405788,2.448376,2.571429,2.714286,2.571429,,385.14865,7371.0,75239785452.1022,2.79758521448559,17563.6122454385,1.37344181533176,0.7843475,Azerbaijan,Middle East,Europe & Central Asia,Western Asia,-1.9459583456954643,2013.0,2025.0
