year,section,exports,imports,export_share_pct
2025,7,808119591182.0,746943735973.0,50.30396219983525
2025,3,179284785270.0,174844734023.0,11.160149017098279
2025,8,179206780162.0,101432991367.0,11.155293342211737
2025,6,133309058983.0,123653108319.0,8.298244390001628
2025,5,108922395457.0,116269296340.0,6.780219318492472
2025,4,88419766927.0,13365311433.0,5.503968300914918
2025,0,58867400813.0,92770403799.0,3.6643877188627454
2025,2,33946838678.0,51705418981.0,2.113128438285105
2025,9,13544918688.0,27529193131.0,0.8431463425906989
2025,1,2851504615.0,3365561170.0,0.1775009317071619
