year,end_use,imports
2011,below_5000,2071376221.0
2011,capital,80171430219.0
2011,consumption,41023998175.0
2011,dual_use,17957303908.0
2011,intermediate,385739382480.0
2011,nes,1111885586.0
2011,retained_imports,528075376589.0
2012,below_5000,2174029533.0
2012,capital,96097823371.0
2012,consumption,43745981325.0
2012,dual_use,34459870376.0
2012,intermediate,363714310755.0
2012,nes,763600221.0
2012,retained_imports,540955615581.0
2013,below_5000,1905226317.0
2013,capital,98201752918.0
2013,consumption,47584014137.0
2013,dual_use,28610001032.0
2013,intermediate,379454549544.0
2013,nes,937713757.0
2013,retained_imports,556693257705.0
2014,below_5000,1996475690.0
2014,capital,95881638042.0
2014,consumption,50308632048.0
2014,dual_use,26088178580.0
2014,intermediate,408180515118.0
2014,nes,941315927.0
2014,retained_imports,583396755405.0
2015,below_5000,2032781558.0
2015,capital,95550597451.0
2015,consumption,62430387528.0
2015,dual_use,22003293785.0
2015,intermediate,399525661233.0
2015,nes,1051348520.0
2015,retained_imports,582594070075.0
2016,below_5000,2051777621.0
2016,capital,100244882064.0
2016,consumption,66977413925.0
2016,dual_use,15754065634.0
2016,intermediate,399032581025.0
2016,nes,790247684.0
2016,retained_imports,584850967953.0
2017,below_5000,2202154018.0
2017,capital,115565903211.0
2017,consumption,71036930005.0
2017,dual_use,25053954623.0
2017,intermediate,478932558728.0
2017,nes,831228392.0
2017,retained_imports,693622728977.0
2018,below_5000,2310436416.0
2018,capital,112453311361.0
2018,consumption,73053228117.0
2018,dual_use,30018833979.0
2018,intermediate,462211879390.0
2018,nes,504065035.0
2018,retained_imports,680551754298.0
2019,below_5000,2188004629.0
2019,capital,100179093078.0
2019,consumption,74155494313.0
2019,dual_use,32481587762.0
2019,intermediate,467210570509.0
2019,nes,1607799601.0
2019,retained_imports,677822549892.0
2020,below_5000,1965337651.0
2020,capital,90733023085.0
2020,consumption,74134292503.0
2020,dual_use,17280515992.0
2020,intermediate,429190442123.0
2020,nes,2548091640.0
2020,retained_imports,615851702994.0
2021,below_5000,1986584588.0
2021,capital,103822799540.0
2021,consumption,83893230987.0
2021,dual_use,19522606238.0
2021,intermediate,545801458979.0
2021,nes,3296123940.0
2021,retained_imports,758322804272.0
2022,below_5000,1965116099.0
2022,capital,120231449837.0
2022,consumption,104017235508.0
2022,dual_use,29858619754.0
2022,intermediate,706551231075.0
2022,nes,3212491519.0
2022,retained_imports,965836143792.0
2023,below_5000,50204065.0
2023,capital,128743418749.0
2023,consumption,104117734237.0
2023,dual_use,40047379496.0
2023,intermediate,620606511846.0
2023,nes,2344812730.0
2023,retained_imports,895910061123.0
2024,below_5000,0.0
2024,capital,166098257712.0
2024,consumption,117413718655.0
2024,dual_use,40262593357.0
2024,intermediate,749247101453.0
2024,nes,3984826585.0
2024,retained_imports,1077006497762.0
2025,below_5000,0.0
2025,capital,214302042369.0
2025,consumption,119511048148.0
2025,dual_use,26329040486.0
2025,intermediate,718638978117.0
2025,nes,6751845228.0
2025,retained_imports,1085532954348.0
