year,end_use,bec,imports
2011,below_5000,0,2071376221.0
2011,capital,0,80171430219.0
2011,capital,410,68338462428.0
2011,capital,521,11832967791.0
2011,consumption,0,41023998175.0
2011,consumption,112,5868848865.0
2011,consumption,122,11640175785.0
2011,consumption,522,852783733.0
2011,consumption,610,5286064725.0
2011,consumption,620,6969169532.0
2011,consumption,630,10406955535.0
2011,dual_use,0,17957303908.0
2011,dual_use,321,10244280853.0
2011,dual_use,510,7713023055.0
2011,intermediate,0,385739382480.0
2011,intermediate,111,6277699012.0
2011,intermediate,121,15758406220.0
2011,intermediate,210,21815419533.0
2011,intermediate,220,132883384685.0
2011,intermediate,310,32240232218.0
2011,intermediate,322,19615028798.0
2011,intermediate,420,143482425143.0
2011,intermediate,530,13666786871.0
2011,nes,0,1111885586.0
2011,retained_imports,0,528075376589.0
2012,below_5000,0,2174029533.0
2012,capital,0,96097823371.0
2012,capital,410,78542122291.0
2012,capital,521,17555701080.0
2012,consumption,0,43745981325.0
2012,consumption,112,5946080720.0
2012,consumption,122,12960452704.0
2012,consumption,522,1054274647.0
2012,consumption,610,5660748585.0
2012,consumption,620,7309318919.0
2012,consumption,630,10815105750.0
2012,dual_use,0,34459870376.0
2012,dual_use,321,25773640676.0
2012,dual_use,510,8686229700.0
2012,intermediate,0,363714310755.0
2012,intermediate,111,5511259705.0
2012,intermediate,121,14664715794.0
2012,intermediate,210,22392762807.0
2012,intermediate,220,135527125171.0
2012,intermediate,310,35239024740.0
2012,intermediate,322,6796828487.0
2012,intermediate,420,126694111376.0
2012,intermediate,530,16888482675.0
2012,nes,0,763600221.0
2012,retained_imports,0,540955615581.0
2013,below_5000,0,1905226317.0
2013,capital,0,98201752918.0
2013,capital,410,78351509186.0
2013,capital,521,19850243732.0
2013,consumption,0,47584014137.0
2013,consumption,112,6628661999.0
2013,consumption,122,13451031644.0
2013,consumption,522,1433779316.0
2013,consumption,610,6525079065.0
2013,consumption,620,7971752077.0
2013,consumption,630,11573710036.0
2013,dual_use,0,28610001032.0
2013,dual_use,321,19995739086.0
2013,dual_use,510,8614261946.0
2013,intermediate,0,379454549544.0
2013,intermediate,111,5180129733.0
2013,intermediate,121,11560139830.0
2013,intermediate,210,21483323670.0
2013,intermediate,220,144840373886.0
2013,intermediate,310,30055070637.0
2013,intermediate,322,16270913692.0
2013,intermediate,420,131615009398.0
2013,intermediate,530,18449588698.0
2013,nes,0,937713757.0
2013,retained_imports,0,556693257705.0
2014,below_5000,0,1996475690.0
2014,capital,0,95881638042.0
2014,capital,410,80245608561.0
2014,capital,521,15636029481.0
2014,consumption,0,50308632048.0
2014,consumption,112,7179529409.0
2014,consumption,122,14310180371.0
2014,consumption,522,1083710163.0
2014,consumption,610,7434183441.0
2014,consumption,620,7835222339.0
2014,consumption,630,12465806325.0
2014,dual_use,0,26088178580.0
2014,dual_use,321,19094878953.0
2014,dual_use,510,6993299627.0
2014,intermediate,0,408180515118.0
2014,intermediate,111,5700138913.0
2014,intermediate,121,12278095146.0
2014,intermediate,210,18544540923.0
2014,intermediate,220,153845201535.0
2014,intermediate,310,31976161259.0
2014,intermediate,322,26131964509.0
2014,intermediate,420,138845314418.0
2014,intermediate,530,20859098415.0
2014,nes,0,941315927.0
2014,retained_imports,0,583396755405.0
2015,below_5000,0,2032781558.0
2015,capital,0,95550597451.0
2015,capital,410,85254415410.0
2015,capital,521,10296182041.0
2015,consumption,0,62430387528.0
2015,consumption,112,8641489124.0
2015,consumption,122,16842475199.0
2015,consumption,522,1052173657.0
2015,consumption,610,7959711519.0
2015,consumption,620,13112732598.0
2015,consumption,630,14821805431.0
2015,dual_use,0,22003293785.0
2015,dual_use,321,14614580426.0
2015,dual_use,510,7388713359.0
2015,intermediate,0,399525661233.0
2015,intermediate,111,6082755735.0
2015,intermediate,121,13612811903.0
2015,intermediate,210,17826336028.0
2015,intermediate,220,149345052795.0
2015,intermediate,310,17802832620.0
2015,intermediate,322,22473916933.0
2015,intermediate,420,147335086508.0
2015,intermediate,530,25046868711.0
2015,nes,0,1051348520.0
2015,retained_imports,0,582594070075.0
2016,below_5000,0,2051777621.0
2016,capital,0,100244882064.0
2016,capital,410,88431544645.0
2016,capital,521,11813337419.0
2016,consumption,0,66977413925.0
2016,consumption,112,9748070695.0
2016,consumption,122,16933314061.0
2016,consumption,522,904165831.0
2016,consumption,610,8525201097.0
2016,consumption,620,14664833433.0
2016,consumption,630,16201828808.0
2016,dual_use,0,15754065634.0
2016,dual_use,321,8196462492.0
2016,dual_use,510,7557603142.0
2016,intermediate,0,399032581025.0
2016,intermediate,111,5945997733.0
2016,intermediate,121,11560319991.0
2016,intermediate,210,16120171450.0
2016,intermediate,220,156185048726.0
2016,intermediate,310,17711794679.0
2016,intermediate,322,13381472071.0
2016,intermediate,420,151461477624.0
2016,intermediate,530,26666298751.0
2016,nes,0,790247684.0
2016,retained_imports,0,584850967953.0
2017,below_5000,0,2202154018.0
2017,capital,0,115565903211.0
2017,capital,410,102505680606.0
2017,capital,521,13060222605.0
2017,consumption,0,71036930005.0
2017,consumption,112,9941966214.0
2017,consumption,122,18931825517.0
2017,consumption,522,942225386.0
2017,consumption,610,9005768341.0
2017,consumption,620,15186968159.0
2017,consumption,630,17028176388.0
2017,dual_use,0,25053954623.0
2017,dual_use,321,18678252563.0
2017,dual_use,510,6375702060.0
2017,intermediate,0,478932558728.0
2017,intermediate,111,6420748229.0
2017,intermediate,121,12720304997.0
2017,intermediate,210,20804717778.0
2017,intermediate,220,179105588532.0
2017,intermediate,310,27209971363.0
2017,intermediate,322,20710567962.0
2017,intermediate,420,183230875886.0
2017,intermediate,530,28729783981.0
2017,nes,0,831228392.0
2017,retained_imports,0,693622728977.0
2018,below_5000,0,2310436416.0
2018,capital,0,112453311361.0
2018,capital,410,96475411334.0
2018,capital,521,15977900027.0
2018,consumption,0,73053228117.0
2018,consumption,112,9515014827.0
2018,consumption,122,19851137047.0
2018,consumption,522,802902933.0
2018,consumption,610,10122184624.0
2018,consumption,620,14798234901.0
2018,consumption,630,17963753785.0
2018,dual_use,0,30018833979.0
2018,dual_use,321,22357158397.0
2018,dual_use,510,7661675582.0
2018,intermediate,0,462211879390.0
2018,intermediate,111,6401463114.0
2018,intermediate,121,11375434476.0
2018,intermediate,210,24311021441.0
2018,intermediate,220,190812042379.0
2018,intermediate,310,34351269328.0
2018,intermediate,322,21780546626.0
2018,intermediate,420,143120593651.0
2018,intermediate,530,30059508375.0
2018,nes,0,504065035.0
2018,retained_imports,0,680551754298.0
2019,below_5000,0,2188004629.0
2019,capital,0,100179093078.0
2019,capital,410,91762174030.0
2019,capital,521,8416919048.0
2019,consumption,0,74155494313.0
2019,consumption,112,10258468470.0
2019,consumption,122,20523736976.0
2019,consumption,522,1017042248.0
2019,consumption,610,9721841500.0
2019,consumption,620,13656992041.0
2019,consumption,630,18977413078.0
2019,dual_use,0,32481587762.0
2019,dual_use,321,24048300773.0
2019,dual_use,510,8433286989.0
2019,intermediate,0,467210570509.0
2019,intermediate,111,7190094292.0
2019,intermediate,121,10860119326.0
2019,intermediate,210,30034670003.0
2019,intermediate,220,190842527532.0
2019,intermediate,310,38317978041.0
2019,intermediate,322,18772599470.0
2019,intermediate,420,138673885680.0
2019,intermediate,530,32518696165.0
2019,nes,0,1607799601.0
2019,retained_imports,0,677822549892.0
2020,below_5000,0,1965337651.0
2020,capital,0,90733023085.0
2020,capital,410,91343749977.0
2020,capital,521,-610726892.0
2020,consumption,0,74134292503.0
2020,consumption,112,10981768082.0
2020,consumption,122,21608646322.0
2020,consumption,522,1091115010.0
2020,consumption,610,9783490003.0
2020,consumption,620,12367738415.0
2020,consumption,630,18301534671.0
2020,dual_use,0,17280515992.0
2020,dual_use,321,12901947620.0
2020,dual_use,510,4378568372.0
2020,intermediate,0,429190442123.0
2020,intermediate,111,7961025545.0
2020,intermediate,121,12708617589.0
2020,intermediate,210,31974834081.0
2020,intermediate,220,173447380677.0
2020,intermediate,310,25749583622.0
2020,intermediate,322,17863822589.0
2020,intermediate,420,134997362623.0
2020,intermediate,530,24487815397.0
2020,nes,0,2548091640.0
2020,retained_imports,0,615851702994.0
2021,below_5000,0,1986584588.0
2021,capital,0,103822799540.0
2021,capital,410,98778541303.0
2021,capital,521,5044258237.0
2021,consumption,0,83893230987.0
2021,consumption,112,12329011664.0
2021,consumption,122,24485187928.0
2021,consumption,522,1700319085.0
2021,consumption,610,12310160288.0
2021,consumption,620,13254072500.0
2021,consumption,630,19814479522.0
2021,dual_use,0,19522606238.0
2021,dual_use,321,14157796108.0
2021,dual_use,510,5364810130.0
2021,intermediate,0,545801458979.0
2021,intermediate,111,9516667694.0
2021,intermediate,121,17626980486.0
2021,intermediate,210,43586339521.0
2021,intermediate,220,225162876020.0
2021,intermediate,310,29372211262.0
2021,intermediate,322,21754064668.0
2021,intermediate,420,170721370633.0
2021,intermediate,530,28060948695.0
2021,nes,0,3296123940.0
2021,retained_imports,0,758322804272.0
2022,below_5000,0,1965116099.0
2022,capital,0,120231449837.0
2022,capital,410,108071939789.0
2022,capital,521,12159510048.0
2022,consumption,0,104017235508.0
2022,consumption,112,13695363932.0
2022,consumption,122,32698593169.0
2022,consumption,522,1806547785.0
2022,consumption,610,13512867346.0
2022,consumption,620,17830349021.0
2022,consumption,630,24473514255.0
2022,dual_use,0,29858619754.0
2022,dual_use,321,23278142897.0
2022,dual_use,510,6580476857.0
2022,intermediate,0,706551231075.0
2022,intermediate,111,10999186088.0
2022,intermediate,121,22305619940.0
2022,intermediate,210,42605730638.0
2022,intermediate,220,269209568226.0
2022,intermediate,310,80207308343.0
2022,intermediate,322,34423899591.0
2022,intermediate,420,206050360514.0
2022,intermediate,530,40749557735.0
2022,nes,0,3212491519.0
2022,retained_imports,0,965836143792.0
2023,below_5000,0,50204065.0
2023,capital,0,128743418749.0
2023,capital,410,116428948836.0
2023,capital,521,12314469913.0
2023,consumption,0,104117734237.0
2023,consumption,112,14320349283.0
2023,consumption,122,34155682869.0
2023,consumption,522,1546994780.0
2023,consumption,610,14275110357.0
2023,consumption,620,17344284143.0
2023,consumption,630,22475312805.0
2023,dual_use,0,40047379496.0
2023,dual_use,321,31893810512.0
2023,dual_use,510,8153568984.0
2023,intermediate,0,620606511846.0
2023,intermediate,111,12580082412.0
2023,intermediate,121,15828952398.0
2023,intermediate,210,34299375608.0
2023,intermediate,220,247619709820.0
2023,intermediate,310,79362228177.0
2023,intermediate,322,30203868809.0
2023,intermediate,420,154506800323.0
2023,intermediate,530,46205494299.0
2023,nes,0,2344812730.0
2023,retained_imports,0,895910061123.0
2024,below_5000,0,0.0
2024,capital,0,166098257712.0
2024,capital,410,156166924002.0
2024,capital,521,9931333710.0
2024,consumption,0,117413718655.0
2024,consumption,112,15910507336.0
2024,consumption,122,38646747228.0
2024,consumption,522,1736074142.0
2024,consumption,610,17385553020.0
2024,consumption,620,19457317620.0
2024,consumption,630,24277519309.0
2024,dual_use,0,40262593357.0
2024,dual_use,321,30983453931.0
2024,dual_use,510,9279139426.0
2024,intermediate,0,749247101453.0
2024,intermediate,111,19095955925.0
2024,intermediate,121,14131581013.0
2024,intermediate,210,38923773416.0
2024,intermediate,220,266686254028.0
2024,intermediate,310,79506112823.0
2024,intermediate,322,39106187695.0
2024,intermediate,420,241462643460.0
2024,intermediate,530,50334593093.0
2024,nes,0,3984826585.0
2024,retained_imports,0,1077006497762.0
2025,below_5000,0,0.0
2025,capital,0,214302042369.0
2025,capital,410,199356208829.0
2025,capital,521,14945833540.0
2025,consumption,0,119511048148.0
2025,consumption,112,15303751631.0
2025,consumption,122,38418815827.0
2025,consumption,522,1962373945.0
2025,consumption,610,19783793250.0
2025,consumption,620,20791685821.0
2025,consumption,630,23250627674.0
2025,dual_use,0,26329040486.0
2025,dual_use,321,14497307502.0
2025,dual_use,510,11831732984.0
2025,intermediate,0,718638978117.0
2025,intermediate,111,21293379222.0
2025,intermediate,121,13333243007.0
2025,intermediate,210,39350791303.0
2025,intermediate,220,245039774854.0
2025,intermediate,310,66276586277.0
2025,intermediate,322,26567090717.0
2025,intermediate,420,251302314792.0
2025,intermediate,530,55475797945.0
2025,nes,0,6751845228.0
2025,retained_imports,0,1085532954348.0
