year,exports,imports,exports_domestic,re_exports,balance,export_growth_yoy_pct
2001,334283814638.0,280229093025.0,0.0,0.0,54054721613.0,
2002,357430016975.0,303090465492.0,0.0,0.0,54339551483.0,6.924116969906335
2003,397884391228.0,316537853174.0,0.0,0.0,81346538054.0,11.31812448080698
2004,481252992429.0,399632170928.0,0.0,0.0,81620821501.0,20.952971023491894
2005,536233660582.0,432870797663.0,0.0,0.0,103362862919.0,11.424483383573225
2006,589240344500.0,478147922564.0,0.0,0.0,111092421936.0,9.884997495395819
2007,604299632419.0,502044624342.0,0.0,0.0,102255008077.0,2.5557122928808518
2008,663013514606.0,519804293717.0,641196121201.0,21817393404.999985,143209220889.0,9.716021496152404
2009,552518106654.0,434669802283.0,525418422064.0,27099684589.999985,117848304371.0,-16.665634337433165
2010,638822488043.0,528828183337.0,603164123883.0,35658364160.0,109994304706.0,15.62019060545392
2011,697861937310.0,573626326352.0,652310987547.0,45550949763.0,124235610958.0,9.241917805345956
2012,702641247787.0,606676949806.0,636919913562.0,65721334225.0,95964297981.0,0.6848504297888081
2013,719992398442.0,648694873307.0,627990782840.0,92001615602.0,71297525135.0,2.4694181717410224
2014,765416883396.0,682937147307.0,665876491494.0,99540391902.0,82479736089.0,6.309022852504365
2015,777355082938.0,685778437494.0,674170715519.0,103184367419.0,91576645444.0,1.5596990086020446
2016,786964158447.0,698818667620.0,672996458780.0,113967699667.0,88145490827.0,1.2361243555110812
2017,934926819404.0,836422182191.0,792127366190.0,142799453214.0,98504637213.0,18.80170264030707
2018,1003586867891.0,879804015642.0,804334606547.0,199252261344.0,123782852249.0,7.343895485934349
2019,995071916079.0,849410811680.0,823483654291.0,171588261788.0,145661104399.0,-0.8484518963359777
2020,983826765919.0,800481319743.0,799197149170.0,184629616749.0,183345446176.0,-1.1300841656059046
2021,1241022092831.0,987343974113.0,1012000922990.0,229021169841.0,253678118718.0,26.142338856958403
2022,1550009274634.0,1293811392156.0,1222034026270.0,327975248364.0,256197882478.0,24.897798644192015
2023,1426198704358.0,1211044040649.0,1111064724832.0,315133979526.0,215154663709.0,-7.987730931818781
2024,1507713138901.0,1339834938889.0,1244884697774.0,262828441127.0,167878200012.0,5.715503337222105
2025,1606473040775.0,1451879754536.0,1240126240587.0,366346800188.0,154593286239.0,6.550311151761123
