year,section,exports,imports
2001,0,6581269030.0,12276954275.0
2001,1,1307659250.0,923962987.0
2001,2,7564822881.0,6890908241.0
2001,3,32288332286.0,14705887635.0
2001,4,12342468580.0,793293655.0
2001,5,14318421416.0,20703534319.0
2001,6,24114496507.0,29297369237.0
2001,7,202827816965.0,169608995403.0
2001,8,29171426582.0,15730324633.0
2001,9,3767101141.0,9297862640.0
2001,overall,334283814638.0,280229093025.0
2002,0,7476995225.0,12439379472.0
2002,1,1294625513.0,1137326664.0
2002,2,8418134951.0,6821704642.0
2002,3,30645257053.0,14368253077.0
2002,4,17925608098.0,1265734867.0
2002,5,16669499767.0,21761343057.0
2002,6,24844886874.0,30319318399.0
2002,7,215291952391.0,187969238634.0
2002,8,30452836690.0,17186793270.0
2002,9,4410220413.0,9821373410.0
2002,overall,357430016975.0,303090465492.0
2003,0,8423958906.0,12727647205.0
2003,1,1492166789.0,1142506222.0
2003,2,10152859524.0,7380269855.0
2003,3,40231566198.0,17519544430.0
2003,4,24226163223.0,1358691091.0
2003,5,20549927345.0,22764010516.0
2003,6,27981507627.0,30480035836.0
2003,7,226077625123.0,195328532586.0
2003,8,33636970228.0,18127455594.0
2003,9,5111646265.0,9709159839.0
2003,overall,397884391228.0,316537853174.0
2004,0,10026423129.0,16482073046.0
2004,1,1642793489.0,1390834759.0
2004,2,12599552400.0,10475840490.0
2004,3,55817474537.0,25118275078.0
2004,4,26535655447.0,2911031221.0
2004,5,27081361756.0,31785890449.0
2004,6,37069442747.0,43317206520.0
2004,7,262488317412.0,232491296972.0
2004,8,41356371665.0,23745859025.0
2004,9,6635599847.0,11913863368.0
2004,overall,481252992429.0,399632170928.0
2005,0,10754946448.0,17780169254.0
2005,1,1710595854.0,1463272945.0
2005,2,14096057720.0,10496277833.0
2005,3,71886259511.0,34938158156.0
2005,4,24692805661.0,2094566418.0
2005,5,31111702485.0,33895614284.0
2005,6,39097740937.0,47964007264.0
2005,7,289566611725.0,248767525563.0
2005,8,45233928695.0,22601514292.0
2005,9,8083011546.0,12869691654.0
2005,overall,536233660582.0,432870797663.0
2006,0,11481539489.0,19967942449.0
2006,1,1929680295.0,1539150442.0
2006,2,16948972839.0,12826704750.0
2006,3,80653364172.0,41545613072.0
2006,4,27944478938.0,2692760482.0
2006,5,32928917908.0,36813222757.0
2006,6,47935578074.0,55651371184.0
2006,7,309343448264.0,266662988413.0
2006,8,49933514521.0,26216058785.0
2006,9,10140850000.0,14232110230.0
2006,overall,589240344500.0,478147922564.0
2007,0,13850492179.0,23415854995.0
2007,1,2203939308.0,1704379963.0
2007,2,16251301022.0,16412468161.0
2007,3,86986724113.0,44248066788.0
2007,4,39576093303.0,3160238762.0
2007,5,36167119258.0,40796333351.0
2007,6,52658329479.0,63508030013.0
2007,7,295905965546.0,267349682519.0
2007,8,51937732766.0,24696586331.0
2007,9,8761935445.0,16752983459.0
2007,overall,604299632419.0,502044624342.0
2008,0,17851711924.0,27969260687.0
2008,1,2431364710.0,2115289239.0
2008,2,17694427595.0,18641764848.0
2008,3,121651941016.0,56804320686.0
2008,4,56833136308.0,5219044842.0
2008,5,39486147667.0,45621596851.0
2008,6,59150831552.0,67154910937.0
2008,7,286099325270.0,254282970999.0
2008,8,55846085898.0,28628856415.0
2008,9,5968542666.0,13366278213.0
2008,overall,663013514606.0,519804293717.0
2009,0,15790997245.0,26732120532.0
2009,1,2476621137.0,2097008940.0
2009,2,13157144492.0,14881167435.0
2009,3,79508148462.0,35688215207.0
2009,4,43640998877.0,4977572714.0
2009,5,33263369106.0,39405598343.0
2009,6,49356397855.0,52801226653.0
2009,7,258628013994.0,222364139903.0
2009,8,52202197043.0,25817644865.0
2009,9,4494218443.0,9905107691.0
2009,overall,552518106654.0,434669802283.0
2010,0,18167969393.0,30252760010.0
2010,1,2815111022.0,2355242242.0
2010,2,19128782344.0,19444276331.0
2010,3,101958433862.0,52690552803.0
2010,4,54139430386.0,7208741668.0
2010,5,40618346872.0,47859950672.0
2010,6,56391171131.0,65553227194.0
2010,7,280415983238.0,261591113086.0
2010,8,61406685110.0,32075168314.0
2010,9,3780574685.0,9797151017.0
2010,overall,638822488043.0,528828183337.0
2011,0,20555219045.0,34492518429.0
2011,1,3136393097.0,3096529473.0
2011,2,25026457428.0,24758515642.0
2011,3,125752326084.0,67635034331.0
2011,4,73118570512.0,11513667630.0
2011,5,46210691152.0,53902206387.0
