ISO3,Country,Region,base_rank,rank_p5,rank_p50,rank_p95,score_p5,score_p50,score_p95,rank_band_width
IRN,"Iran, Islamic Rep.",Middle East,2,1.0,1.0,9.049999999999955,32.07638271990113,61.42907071502079,86.82684491026767,8.049999999999955
MNG,Mongolia,East Asia,3,2.0,2.0,4.0,38.77758897720521,59.722024791376825,78.89441010120004,2.0
RUS,Russian Federation,Europe,4,3.0,5.0,18.0,26.68373022850834,53.93044863483348,73.44636447266325,15.0
HKG,"Hong Kong SAR, China",East Asia,5,1.0,6.0,40.0,30.699430498267304,51.26981631046281,75.82587415349353,39.0
MEX,Mexico,Latin America,6,4.0,5.0,14.0,32.805628266912976,52.38069060326431,66.91479275384975,10.0
IRQ,Iraq,Middle East,7,3.0,6.0,9.0,31.47888089717958,50.83188349115669,70.3527681691363,6.0
BGD,Bangladesh,South & Southeast Asia,8,5.0,7.0,18.0,26.587106760794846,50.752921622345696,67.0969709315517,13.0
DZA,Algeria,Africa,9,6.0,8.0,18.0,25.417403289142584,47.887815609144695,66.58519529328919,12.0
DOM,Dominican Republic,Latin America,10,8.0,10.0,15.0,26.629546286438163,46.641464787770175,63.55560972647904,7.0
AZE,Azerbaijan,Middle East,11,5.0,10.0,13.049999999999955,27.780812358044034,44.49311795808107,66.66376670408988,8.049999999999955
AGO,Angola,Africa,12,1.0,11.0,26.0,19.457955668811806,41.80927981492364,74.6117795394807,25.0
MAR,Morocco,Africa,14,5.0,12.0,19.0,20.954420002674187,38.91750284976396,61.83777696841004,14.0
VNM,Viet Nam,South & Southeast Asia,15,2.0,14.0,28.0,24.71671452842165,38.72620715366698,45.66684249379417,26.0
ETH,Ethiopia,Africa,16,7.0,16.0,47.0,11.955741923199499,34.62091057319972,64.27291173310009,40.0
PAK,Pakistan,South & Southeast Asia,17,9.0,17.0,44.0,12.60239322315993,34.35961654660393,63.40509168765721,35.0
GHA,Ghana,Africa,18,12.0,18.0,42.0,12.538259219066564,33.803340268782705,61.54491289630917,30.0
KWT,Kuwait,Middle East,19,12.0,19.0,28.0,21.529225835426992,34.963846242902065,46.15741189852379,16.0
ECU,Ecuador,Latin America,20,15.0,18.0,24.0,17.554863289596728,33.43305995491676,51.94682308311712,9.0
CHL,Chile,Latin America,21,14.0,19.0,23.0,19.16779718859939,33.46025351760722,49.61125993342203,9.0
