rank,Country,ISO3,Region,supply_chain_risk_score,n_pillars_available,score_import_dependency,score_logistics_fragility,score_trade_concentration,score_commodity_exposure
1,Cuba,CUB,Latin America,68.46209621630145,3,,95.45454545454545,59.93174319435891,50.0
2,"Iran, Islamic Rep.",IRN,Middle East,61.18072804897791,4,3.813821286820755,90.9090909090909,100.0,50.0
3,Mongolia,MNG,East Asia,59.738512490394996,4,18.24598426366499,81.81818181818183,88.88988387973316,50.0
4,Russian Federation,RUS,Europe,52.6953689288109,4,0.3940541196837267,77.27272727272727,83.1146943228326,50.0
5,"Hong Kong SAR, China",HKG,East Asia,52.152730331254894,4,100.0,13.636363636363635,44.97455768865593,50.0
6,Mexico,MEX,Latin America,51.2554447609471,4,14.25840443505435,63.63636363636363,77.12701097237041,50.0
7,Iraq,IRQ,Middle East,50.845910970341436,4,12.19892713424684,86.36363636363636,54.82108038348253,50.0
8,Bangladesh,BGD,South & Southeast Asia,49.29093239511032,4,2.237569314368,77.27272727272727,67.653432993346,50.0
9,Algeria,DZA,Africa,47.01461426135059,4,3.4642353753488035,81.81818181818183,52.77603985187172,50.0
10,Dominican Republic,DOM,Latin America,45.83799164087058,4,6.6767681047249585,77.27272727272727,49.402471186030084,50.0
11,Azerbaijan,AZE,Middle East,45.13832681243947,4,11.445168736465662,84.16472727272726,34.94341124056497,50.0
12,Angola,AGO,Africa,43.03011285374953,4,0.6284440146932304,100.0,21.492007400304878,50.0
13,"Macao SAR, China",MAC,East Asia,42.15230604707383,3,10.217435477165123,,66.23948266405635,50.0
14,Morocco,MAR,Africa,39.81611444235065,4,20.058754998586547,80.0,9.20570277081608,50.0
15,Viet Nam,VNM,South & Southeast Asia,37.430874475060676,4,41.98296851228381,45.45454545454545,12.285983933413421,50.0
16,Ethiopia,ETH,Africa,35.57817870413471,4,3.876657907847619,87.4196818181818,1.0163750905094158,50.0
17,Pakistan,PAK,South & Southeast Asia,35.346294188948335,4,2.7628014638387604,85.45454545454547,3.1678298374090947,50.0
18,Ghana,GHA,Africa,34.72854108731198,4,2.280006003942059,81.81818181818183,4.815976527124029,50.0
19,Kuwait,KWT,Middle East,34.59885727011816,4,8.374941965794925,50.0,30.020487114677724,50.0
20,Ecuador,ECU,Latin America,33.84058611206329,4,7.6029570157591735,64.54545454545456,13.21393288703942,50.0
21,Chile,CHL,Latin America,33.74931531572499,4,8.080695723148198,59.09090909090909,17.825656448842683,50.0
22,Canada,CAN,North America,33.66163953728755,4,7.5150906046340715,13.636363636363635,63.495103908152494,50.0
23,Colombia,COL,Latin America,32.255479465854194,4,2.3522764354733674,63.63636363636363,13.033277791579792,50.0
