ISO3,comtradeCode,total_exports_to_network_usd,total_imports_from_network_usd,betweenness_centrality,eigenvector_centrality,pagerank,period,Country
DZA,12,26940534061.0,43480847295.593,0.014216575922565035,0.011063358349898864,0.005645022535562311,2016,Algeria
AGO,24,29967186382.958,8207691653.718,0.017241379310344827,0.0029159418952006575,0.0031695585814586827,2016,Angola
AZE,31,9858043072.630001,6728582705.628,0.6857229280096794,0.0012721811146484175,0.0031088347324411607,2016,Azerbaijan
ARG,32,51290570876.97,46731314361.553,0.003327283726557774,0.017134986285682142,0.0058641215474507435,2016,Argentina
AUS,36,174732076111.0,165512852756.339,0.0,0.06099179544776569,0.01347935289340158,2016,Australia
BGD,50,30757566924.644,40850844479.392,0.0,0.012353177047736977,0.00553654849929983,2016,Bangladesh
BEL,58,231635938051.0,251259769587.0,0.0,0.07738510167688832,0.021282346625465444,2016,Belgium
BRA,76,160423393547.0,126612227254.891,0.0,0.05491784574243467,0.012330057301430731,2016,Brazil
CAN,124,366481840338.537,380576251930.852,0.0,0.3096108865221281,0.03626764815654101,2016,Canada
LKA,144,9424733022.0,16708429438.384,0.044162129461585,0.004426474972182569,0.003935156537339848,2016,Sri Lanka
CHN,156,1971347675357.0,1213183347448.983,0.0,0.3519871959915962,0.0890372975701138,2016,China
COL,170,28894090320.0,39050299604.167,0.0,0.020902320021270026,0.005609734606914186,2016,Colombia
CUB,192,1405782341.5,6245283277.424,0.18300060496067758,0.0018780352888980397,0.0029984821228517867,2016,Cuba
DOM,214,7788206218.119,14698237586.844,0.14609800362976408,0.009933095101301364,0.003792144389497631,2016,Dominican Republic
ECU,218,16391823480.0,13689699879.996,0.11312764670296431,0.00654907223233415,0.0036944418539692067,2016,Ecuador
ETH,230,1747235319.0,14269986030.0,0.1001209921355112,0.004697182734921099,0.0038972125021001255,2016,Ethiopia
FRA,251,424763867633.0,461467034090.452,0.0,0.11724302970210655,0.03580301843207298,2016,France
DEU,276,1009600039287.797,714127523132.406,0.0,0.1742831190931882,0.05560211484525113,2016,Germany
GHA,288,9021941051.0,12775012527.578,0.029038112522686028,0.004415933368492081,0.0035843611590446966,2016,Ghana
HKG,344,449288611837.137,559831661543.274,0.0,0.2292116066082811,0.03474942318969341,2016,"Hong Kong SAR, China"
IND,356,227963363766.0,313989332382.0,0.0,0.08235942411839449,0.034194643066594435,2016,India
IDN,360,140510917740.0,130442983451.3,0.0,0.037534710279257866,0.010309759086681455,2016,Indonesia
IRN,364,43846415430.3,52345449177.402,0.034180278281911676,0.013488718224431739,0.007168058768319616,2016,"Iran, Islamic Rep."
IRQ,368,16399131603.0,40491610518.979,0.06140350877192983,0.007950564061254458,0.00735880139677645,2016,Iraq
ITA,380,370642277178.651,314344793972.425,0.0,0.07690177829950803,0.026514257189025916,2016,Italy
CIV,384,8554363856.363999,6498934668.335,0.06170598911070781,0.0017813654738556227,0.0030640829809105864,2016,Cote d'Ivoire
JPN,392,584104804360.0,469687918656.379,0.0,0.17542822620637488,0.03324325825546947,2016,Japan
KEN,404,3712324838.33,15344532593.571,0.12189957652752573,0.004647034670119153,0.004197491353099313,2016,Kenya
KOR,410,440747082791.0,340525782612.284,0.0,0.1296168885842967,0.024018660238767694,2016,"Korea, Rep."
KWT,414,11945526090.082,25411866569.861,0.009981851179673321,0.0077695469688580645,0.004985158467884363,2016,Kuwait
MYS,458,194825133138.0,162905713450.132,0.0,0.049233953427736024,0.012631146582554173,2016,Malaysia
MEX,484,357168532585.0,347676238875.986,0.0006049606775559589,0.2742666288919857,0.0313993206637881,2016,Mexico
MAR,504,20071770329.0,32340198021.093998,0.0,0.00741134873517796,0.005125602714576872,2016,Morocco
OMN,512,13304490517.126,23991889367.690998,0.0,0.005822421994918524,0.005168614188512015,2016,Oman
NLD,528,387384314960.696,409919355248.328,0.0,0.12607278360823163,0.031093878086584457,2016,Netherlands
NZL,554,30895283465.545002,29628642511.932,0.0,0.009548162022949225,0.004494676772883956,2016,New Zealand
PAK,586,17141880220.0,43754591183.957,0.0,0.014813976182923783,0.006349085951096533,2016,Pakistan
PHL,608,54800894570.0,94802121543.271,0.12462189957652754,0.03414683661893965,0.007912510496416926,2016,Philippines
POL,616,134096626861.0,156965009878.719,0.0,0.039447028655510565,0.012001757033515317,2016,Poland
