period,flow,reporterCode,partnerCode,primaryValue
2016,X,156,12,7647851142.0
2016,X,156,24,1680398624.0
2016,X,156,31,345883254.0
2016,X,156,32,7200837601.0
2016,X,156,36,37282496549.0
2016,X,156,50,14300635412.0
2016,X,156,76,21976152765.0
2016,X,156,124,27312227873.0
2016,X,156,144,4286880100.0
2016,X,156,152,12802834385.0
2016,X,156,170,6752372928.0
2016,X,156,192,1783014082.0
2016,X,156,214,1566927845.0
2016,X,156,218,2257103301.0
2016,X,156,251,24958617484.0
2016,X,156,276,65214030647.0
2016,X,156,288,4666604087.0
2016,X,156,344,287251662276.0
2016,X,156,360,32117494749.0
2016,X,156,364,16417272588.0
2016,X,156,368,7547857704.0
2016,X,156,376,8174292923.0
2016,X,156,380,26360471715.0
2016,X,156,384,1584526951.0
2016,X,156,392,129268487384.0
2016,X,156,404,5587646821.0
2016,X,156,410,93707103461.0
2016,X,156,414,3000886535.0
2016,X,156,446,3140991372.0
2016,X,156,458,37660220746.0
2016,X,156,484,32356651525.0
2016,X,156,496,988539201.0
2016,X,156,504,3078776968.0
2016,X,156,512,2147698465.0
2016,X,156,528,57447210217.0
2016,X,156,554,4762004124.0
2016,X,156,586,17232654059.0
2016,X,156,604,5989776624.0
2016,X,156,608,29836566657.0
2016,X,156,616,15094067047.0
2016,X,156,634,1515659122.0
2016,X,156,643,37339600736.0
2016,X,156,682,18650906502.0
2016,X,156,702,44495953063.0
2016,X,156,704,61094096781.0
2016,X,156,710,12849507644.0
2016,X,156,724,21310945566.0
2016,X,156,757,3198285713.0
2016,X,156,764,37182731174.0
2016,X,156,784,30066955630.0
2016,X,156,792,16686640520.0
2016,X,156,818,10436255851.0
2016,X,156,826,55664076103.0
2016,X,156,834,3566861307.0
2016,X,276,12,3589023332.242
2016,X,276,24,287303267.144
2016,X,276,31,368305953.167
2016,X,276,32,2877612441.936
2016,X,276,36,10016194463.68
2016,X,276,50,777431481.948
2016,X,276,76,9535607854.069
2016,X,276,124,10552836203.43
2016,X,276,144,353576673.606
2016,X,276,152,2720099705.231
2016,X,276,156,84528602948.704
2016,X,276,170,1597450623.864
2016,X,276,192,263610216.217
2016,X,276,214,251801217.426
2016,X,276,218,424801257.532
2016,X,276,251,111854017629.571
2016,X,276,288,338081067.349
2016,X,276,344,7553225317.927
2016,X,276,360,2697816988.623
2016,X,276,364,2893877940.215
2016,X,276,368,778289406.822
2016,X,276,376,4502275491.549
2016,X,276,380,67660840512.987
2016,X,276,384,217058698.04
2016,X,276,392,20389297054.078
2016,X,276,404,374653886.608
2016,X,276,410,19118860462.604
2016,X,276,414,1572497427.219
2016,X,276,446,171114803.686
2016,X,276,458,5267217641.952
2016,X,276,484,12334273312.302
2016,X,276,496,112206599.309
2016,X,276,504,2237304787.231
2016,X,276,512,932999051.353
2016,X,276,528,82835426605.493
2016,X,276,554,1214180679.662
2016,X,276,586,1300112636.494
2016,X,276,604,966146850.148
2016,X,276,608,2285658270.859
2016,X,276,616,60314723058.173
2016,X,276,634,2805891603.809
2016,X,276,643,24515883697.688
2016,X,276,682,8135237721.801
2016,X,276,702,7516224225.829
2016,X,276,704,2893450029.333
2016,X,276,710,9867231184.617
2016,X,276,724,44823249539.475
2016,X,276,757,56693388404.718
2016,X,276,764,4888211630.977
2016,X,276,784,16162224683.012
2016,X,276,792,24275917911.822
2016,X,276,818,4924653056.796
2016,X,276,826,94836231773.702
2016,X,276,834,153785482.768
2016,X,392,12,221554688.0
2016,X,392,24,31506043.0
2016,X,392,31,100350626.0
2016,X,392,32,631626148.0
2016,X,392,36,14104469909.0
2016,X,392,50,1582970883.0
2016,X,392,76,2791693420.0
2016,X,392,124,8162345902.0
2016,X,392,144,700235657.0
2016,X,392,152,1567389713.0
2016,X,392,156,113830233712.0
2016,X,392,170,950526981.0
2016,X,392,192,44577522.0
2016,X,392,214,272551549.0
2016,X,392,218,250291840.0
2016,X,392,251,6239737057.0
2016,X,392,276,17652733307.0
2016,X,392,288,124760910.0
2016,X,392,344,33624337741.0
2016,X,392,360,11327517557.0
2016,X,392,364,581629334.0
2016,X,392,368,345822015.0
2016,X,392,376,1972220086.0
2016,X,392,380,4708754971.0
2016,X,392,384,51011594.0
2016,X,392,404,743505368.0
2016,X,392,410,46235237668.0
2016,X,392,414,1696706819.0
2016,X,392,446,301139023.0
2016,X,392,458,12139372847.0
2016,X,392,484,10663064894.0
2016,X,392,496,277604192.0
2016,X,392,504,336692753.0
2016,X,392,512,2552099473.0
2016,X,392,528,11815202410.0
2016,X,392,554,2188685326.0
2016,X,392,586,1931660841.0
2016,X,392,604,715739028.0
2016,X,392,608,10345335886.0
2016,X,392,616,1694227542.0
2016,X,392,634,1539287488.0
2016,X,392,643,5100323266.0
2016,X,392,682,5030461803.0
2016,X,392,702,19841986378.0
2016,X,392,704,12990345953.0
2016,X,392,710,2230508672.0
2016,X,392,724,2858315006.0
2016,X,392,757,3127548243.0
2016,X,392,764,27398049558.0
2016,X,392,784,7996600865.0
2016,X,392,792,2861050748.0
2016,X,392,818,1143423218.0
2016,X,392,826,13659024323.0
2016,X,392,834,221086418.0
2016,X,826,12,559827390.0
2016,X,826,24,499717790.0
2016,X,826,31,524176155.0
2016,X,826,32,405736920.0
2016,X,826,36,5302224254.0
2016,X,826,50,279746748.0
2016,X,826,76,2550112752.0
2016,X,826,124,6241955139.0
2016,X,826,144,277933698.0
2016,X,826,152,609151529.0
2016,X,826,156,18142280186.0
2016,X,826,170,356070825.0
2016,X,826,192,34275685.0
2016,X,826,214,139395741.0
2016,X,826,218,54431135.0
2016,X,826,251,26461827772.0
2016,X,826,276,43797383589.0
2016,X,826,288,749660115.0
2016,X,826,344,9007045142.0
2016,X,826,360,716844032.0
2016,X,826,364,194583780.0
2016,X,826,368,301989688.0
2016,X,826,376,1482562733.0
2016,X,826,380,13123471995.0
2016,X,826,384,114411321.0
2016,X,826,392,6404653431.0
2016,X,826,404,418849343.0
2016,X,826,410,5958175134.0
2016,X,826,414,684322307.0
2016,X,826,446,56252498.0
2016,X,826,458,1756585003.0
2016,X,826,484,1710236646.0
2016,X,826,496,7602509.0
2016,X,826,504,1134649998.0
2016,X,826,512,656452430.0
2016,X,826,528,25484748059.0
2016,X,826,554,953242058.0
2016,X,826,586,843637984.0
2016,X,826,604,215019213.0
2016,X,826,608,540451192.0
2016,X,826,616,5684911042.0
2016,X,826,634,2569796724.0
2016,X,826,643,3479439027.0
2016,X,826,682,6615579983.0
2016,X,826,702,6180283399.0
2016,X,826,704,652080664.0
2016,X,826,710,2666484604.0
2016,X,826,724,13029685111.0
2016,X,826,757,19774332505.0
2016,X,826,764,1484152551.0
2016,X,826,784,9114574351.0
2016,X,826,792,6171969312.0
2016,X,826,818,1649185629.0
2016,X,826,834,143019588.0
2016,X,251,12,5622727167.0
2016,X,251,24,284154272.0
2016,X,251,31,141878629.0
2016,X,251,32,1261047758.0
2016,X,251,36,2471614607.0
2016,X,251,50,208769854.0
2016,X,251,76,4778134632.0
2016,X,251,124,3347443377.0
2016,X,251,144,100276849.0
2016,X,251,152,785710586.0
2016,X,251,156,17705737323.0
2016,X,251,170,696905575.0
2016,X,251,192,141831502.0
2016,X,251,214,159266548.0
2016,X,251,218,131269259.0
2016,X,251,276,78851327540.0
2016,X,251,288,303468451.0
2016,X,251,344,5991633905.0
2016,X,251,360,3019171913.0
2016,X,251,364,798965940.0
2016,X,251,368,350593783.0
2016,X,251,376,1492977447.0
2016,X,251,380,35717802263.0
2016,X,251,384,1187934477.0
2016,X,251,392,6915727029.0
2016,X,251,404,169204693.0
2016,X,251,410,4286615081.0
2016,X,251,414,413461974.0
2016,X,251,446,153625612.0
2016,X,251,458,1694197895.0
2016,X,251,484,4096242238.0
2016,X,251,496,10307729.0
2016,X,251,504,4729562880.0
2016,X,251,512,345090199.0
2016,X,251,528,17679116012.0
2016,X,251,554,589254047.0
2016,X,251,586,615688650.0
2016,X,251,604,352091389.0
2016,X,251,608,905805095.0
2016,X,251,616,9075840716.0
2016,X,251,634,2010297008.0
2016,X,251,643,5405700990.0
2016,X,251,682,4586098248.0
2016,X,251,702,6800777414.0
2016,X,251,704,1645183444.0
2016,X,251,710,2012412391.0
2016,X,251,724,36644577952.0
2016,X,251,757,16921663887.0
2016,X,251,764,1931668390.0
2016,X,251,784,4000982816.0
2016,X,251,792,7749140962.0
2016,X,251,818,1698504335.0
2016,X,251,826,34445925445.0
2016,X,251,834,140373202.0
2016,X,380,12,4107150135.297
2016,X,380,24,208439421.024
2016,X,380,31,299905357.622
2016,X,380,32,1275767283.979
2016,X,380,36,3950320205.635
2016,X,380,50,562432987.455
2016,X,380,76,3541615907.745
2016,X,380,124,4090435366.801
2016,X,380,144,260691707.327
2016,X,380,152,1013554693.428
2016,X,380,156,12234172739.915
2016,X,380,170,642255103.996
2016,X,380,192,345736444.938
2016,X,380,214,380014665.323
2016,X,380,218,221880371.614
2016,X,380,251,48692317107.914
2016,X,380,276,58311989573.424
2016,X,380,288,292426410.187
2016,X,380,344,6383984011.801
2016,X,380,360,1278717043.967
2016,X,380,364,1705828935.179
2016,X,380,368,684947334.287
2016,X,380,376,2774229414.994
2016,X,380,384,199987526.43
2016,X,380,392,6663466684.69
2016,X,380,404,233374226.285
2016,X,380,410,4412944474.003
2016,X,380,414,1211913428.341
2016,X,380,446,173218065.542
2016,X,380,458,1173300326.691
2016,X,380,484,4086884885.562
2016,X,380,496,34070522.895
2016,X,380,504,1782215325.458
2016,X,380,512,902563704.631
2016,X,380,528,10743217873.589
2016,X,380,554,522231032.539
2016,X,380,586,687352249.619
2016,X,380,604,597399030.679
2016,X,380,608,676010350.829
2016,X,380,616,12435978786.68
2016,X,380,634,1000404589.693
2016,X,380,643,7402632522.787
2016,X,380,682,4633172922.754
2016,X,380,702,2032951621.731
2016,X,380,704,1155081989.734
2016,X,380,710,1764089780.537
2016,X,380,724,23294604620.828
2016,X,380,757,21019072218.335
2016,X,380,764,1473790400.833
2016,X,380,784,6003330468.354
2016,X,380,792,10620981880.738
2016,X,380,818,3417105337.714
2016,X,380,826,24802558059.982
2016,X,380,834,86838481.316
2016,X,124,12,391136091.298
2016,X,124,24,40716586.035
2016,X,124,31,9799179.071
2016,X,124,32,232110196.271
2016,X,124,36,1472590753.17
2016,X,124,50,582315386.361
2016,X,124,76,1543171599.359
2016,X,124,144,205712870.755
2016,X,124,152,547360214.238
2016,X,124,156,15825077310.522
2016,X,124,170,591402057.655
2016,X,124,192,309425620.204
2016,X,124,214,114157804.819
2016,X,124,218,183752271.5
2016,X,124,251,2568564591.127
2016,X,124,276,2959241298.508
2016,X,124,288,190396955.643
2016,X,124,344,1755477936.537
2016,X,124,360,1100371260.527
2016,X,124,364,102409183.94
2016,X,124,368,96075153.42
2016,X,124,376,319232271.859
2016,X,124,380,1765720366.652
2016,X,124,384,50764314.717
2016,X,124,392,8085366338.364
2016,X,124,404,83025161.343
2016,X,124,410,3303839420.546
2016,X,124,414,125056843.591
2016,X,124,446,17209827.543
2016,X,124,458,535106151.526
2016,X,124,484,5758982841.5
2016,X,124,496,7615197.898
2016,X,124,504,259059196.598
2016,X,124,512,109266846.898
2016,X,124,528,2144786303.191
2016,X,124,554,346821046.214
2016,X,124,586,813811889.829
2016,X,124,604,576868669.099
2016,X,124,608,472365667.727
2016,X,124,616,465143406.382
2016,X,124,634,132180443.895
2016,X,124,643,454669855.894
2016,X,124,682,935083607.683
2016,X,124,702,1002085656.856
2016,X,124,704,398444570.696
2016,X,124,710,353741271.214
2016,X,124,724,1361713595.097
2016,X,124,757,992792948.861
2016,X,124,764,680089333.497
2016,X,124,784,1351141188.132
2016,X,124,792,869712003.328
2016,X,124,818,250474918.642
2016,X,124,826,12901539550.203
2016,X,124,834,65008429.102
2016,X,76,12,1063292078.0
2016,X,76,24,539731115.0
2016,X,76,31,11105651.0
2016,X,76,32,13417339572.0
2016,X,76,36,419793787.0
2016,X,76,50,1091413782.0
2016,X,76,124,2365967102.0
2016,X,76,144,160832526.0
2016,X,76,152,4080526602.0
2016,X,76,156,35133314867.0
2016,X,76,170,2231079816.0
2016,X,76,192,321439180.0
2016,X,76,214,580259646.0
2016,X,76,218,653583444.0
2016,X,76,251,2334633661.0
2016,X,76,276,4860766756.0
2016,X,76,288,213415083.0
2016,X,76,344,2261480735.0
2016,X,76,360,2211031256.0
2016,X,76,364,2232512050.0
2016,X,76,368,455498922.0
2016,X,76,376,424961925.0
2016,X,76,380,3321622069.0
2016,X,76,384,47031871.0
2016,X,76,392,4604146067.0
2016,X,76,404,58927299.0
2016,X,76,410,2881006714.0
2016,X,76,414,197832516.0
2016,X,76,446,312829.0
2016,X,76,458,1842205071.0
2016,X,76,484,3813037793.0
2016,X,76,496,1973496.0
2016,X,76,504,488509327.0
2016,X,76,512,492356482.0
2016,X,76,528,6954511332.0
2016,X,76,554,96784854.0
2016,X,76,586,433362449.0
2016,X,76,604,1948437570.0
2016,X,76,608,436271310.0
2016,X,76,616,427732756.0
2016,X,76,634,378007009.0
2016,X,76,643,2299894613.0
2016,X,76,682,2487253111.0
2016,X,76,702,1301983286.0
2016,X,76,704,1398745712.0
2016,X,76,710,1397021495.0
2016,X,76,724,2629667637.0
2016,X,76,757,850126486.0
2016,X,76,764,1714704337.0
2016,X,76,784,2235068415.0
2016,X,76,792,1446118810.0
2016,X,76,818,1772017724.0
2016,X,76,826,2868716506.0
2016,X,76,834,17981631.0
2016,X,643,12,4047603316.61
2016,X,643,24,596436273.45
2016,X,643,31,1568781077.18
2016,X,643,32,166385290.37
2016,X,643,36,65999537.03
2016,X,643,50,827032276.88
2016,X,643,76,2337851047.42
2016,X,643,124,423475172.43
2016,X,643,144,81137966.36
2016,X,643,152,43612861.67
2016,X,643,156,29953376571.07
2016,X,643,170,245006911.39
2016,X,643,192,245164486.55
2016,X,643,214,28877187.3
2016,X,643,218,200022865.51
2016,X,643,251,4983034452.14
2016,X,643,276,21452143276.48
2016,X,643,288,200444451.65
2016,X,643,344,708516383.45
2016,X,643,360,525490742.18
2016,X,643,364,1896414600.72
2016,X,643,368,921070214.0
2016,X,643,376,1467798315.31
2016,X,643,380,12284661747.14
2016,X,643,384,69271298.67
2016,X,643,392,9845579627.4
2016,X,643,404,130736225.25
2016,X,643,410,10878065453.65
2016,X,643,414,480442487.3
2016,X,643,446,60689.83
2016,X,643,458,1076522343.69
2016,X,643,484,1076685601.11
2016,X,643,496,1108016117.66
2016,X,643,504,725540427.45
2016,X,643,512,193334031.99
2016,X,643,528,31816200182.8
2016,X,643,554,77758406.67
2016,X,643,586,134966601.08
2016,X,643,604,218679007.32
2016,X,643,608,147201484.12
2016,X,643,616,9343550715.35
2016,X,643,634,24532745.61
2016,X,643,682,351886219.79
2016,X,643,702,2558773330.99
2016,X,643,704,1492051420.71
2016,X,643,710,202413314.26
2016,X,643,724,1978872465.61
2016,X,643,757,3063001942.57
2016,X,643,764,617179233.35
2016,X,643,784,994599206.15
2016,X,643,792,13763057805.97
2016,X,643,818,3844142156.35
2016,X,643,826,7061742982.92
2016,X,643,834,79273054.73
2016,X,410,12,1066248951.0
2016,X,410,24,552524623.0
2016,X,410,31,118289012.0
2016,X,410,32,795651280.0
2016,X,410,36,7500619024.0
2016,X,410,50,1158421309.0
2016,X,410,76,4456543019.0
2016,X,410,124,4884917212.0
2016,X,410,144,275511942.0
2016,X,410,152,1611306224.0
2016,X,410,156,124432940703.0
2016,X,410,170,853196415.0
2016,X,410,192,42138841.0
2016,X,410,214,308215275.0
2016,X,410,218,434241246.0
2016,X,410,251,2504098127.0
2016,X,410,276,6442852659.0
2016,X,410,288,215327552.0
2016,X,410,344,32778597167.0
2016,X,410,360,6608530303.0
2016,X,410,364,3716566540.0
2016,X,410,368,1439619514.0
2016,X,410,376,1271551152.0
2016,X,410,380,3163432701.0
2016,X,410,384,76686783.0
2016,X,410,392,24354463716.0
2016,X,410,404,162321838.0
2016,X,410,414,1405815989.0
2016,X,410,446,38495854.0
2016,X,410,458,7533346991.0
2016,X,410,484,9720803662.0
2016,X,410,496,208709530.0
2016,X,410,504,543570941.0
2016,X,410,512,615571910.0
2016,X,410,528,3820899185.0
2016,X,410,554,1305114534.0
2016,X,410,586,828672482.0
2016,X,410,604,1154988692.0
2016,X,410,608,7278419640.0
2016,X,410,616,2912118399.0
2016,X,410,634,535701937.0
2016,X,410,643,4768750644.0
2016,X,410,682,5643866680.0
2016,X,410,702,12458894152.0
2016,X,410,704,32630457303.0
2016,X,410,710,950180340.0
2016,X,410,724,2328644113.0
2016,X,410,757,566546885.0
2016,X,410,764,6481530807.0
2016,X,410,784,5869962291.0
2016,X,410,792,5385010409.0
2016,X,410,818,1768981477.0
2016,X,410,826,6922424909.0
2016,X,410,834,138982649.0
2016,X,484,12,170401243.0
2016,X,484,24,50398787.0
2016,X,484,31,8926802.0
2016,X,484,32,1402110415.0
2016,X,484,36,779002627.0
2016,X,484,50,3572909.0
2016,X,484,76,2991891931.0
2016,X,484,124,10393271506.0
2016,X,484,144,4398116.0
2016,X,484,152,1740887125.0
2016,X,484,156,5397418883.0
2016,X,484,170,3064201080.0
2016,X,484,192,323295674.0
2016,X,484,214,907293825.0
2016,X,484,218,449799887.0
2016,X,484,251,1900872270.0
2016,X,484,276,4116181488.0
2016,X,484,288,10844798.0
2016,X,484,344,586222780.0
2016,X,484,360,61428415.0
2016,X,484,364,16110.0
2016,X,484,368,17569619.0
2016,X,484,376,195771085.0
2016,X,484,380,1200525437.0
2016,X,484,384,1104795.0
2016,X,484,392,3768279804.0
2016,X,484,404,2183276.0
2016,X,484,410,2504543728.0
2016,X,484,414,99472770.0
2016,X,484,446,100630.0
2016,X,484,458,444649251.0
2016,X,484,504,9363355.0
2016,X,484,512,14086385.0
2016,X,484,528,1568410515.0
2016,X,484,554,84008537.0
2016,X,484,586,20803752.0
2016,X,484,604,1388005185.0
2016,X,484,608,62015452.0
2016,X,484,616,239178057.0
2016,X,484,634,13595192.0
2016,X,484,643,170927256.0
2016,X,484,682,125716917.0
2016,X,484,702,822375318.0
2016,X,484,704,218447121.0
2016,X,484,710,333450422.0
2016,X,484,724,3265238350.0
2016,X,484,757,883610384.0
2016,X,484,764,491830982.0
2016,X,484,784,282698330.0
2016,X,484,792,233571449.0
2016,X,484,818,58995125.0
2016,X,484,826,3231326498.0
2016,X,484,834,2933231.0
2016,X,36,12,6237054.0
2016,X,36,24,4457423.0
2016,X,36,31,2813938.0
2016,X,36,32,124517516.0
2016,X,36,50,616109880.0
2016,X,36,76,747987780.0
2016,X,36,124,1315148043.0
2016,X,36,144,161818296.0
2016,X,36,152,340605515.0
2016,X,36,156,59992749592.0
2016,X,36,170,36422177.0
2016,X,36,192,1192694.0
2016,X,36,214,4908732.0
2016,X,36,218,14319625.0
2016,X,36,251,881248886.0
2016,X,36,276,1332603529.0
2016,X,36,288,88978597.0
2016,X,36,344,7207580834.0
2016,X,36,360,3975952956.0
2016,X,36,364,60744088.0
