SOURCE,COMMODITY,COUNTRY,TYPE,UNIT_MEAS,PROD_2023,PROD_EST_ 2024,PROD_NOTES,CAP_2023,CAP_EST_ 2024,CAP_NOTES,RESERVES_2024,RESERVE_NOTES
MCS2025,Abrasives,United States,"Plant capacity, fused aluminum oxide",metric tons,,,estimated for 2023,,,,,
MCS2025,Abrasives,United States and Canada,"Plant capacity, fused aluminum oxide",metric tons,,, ,60000,60000,,,
MCS2025,Abrasives,Australia,"Plant capacity, fused aluminum oxide",metric tons,,,,50000,50000,,,
MCS2025,Abrasives,Austria,"Plant capacity, fused aluminum oxide",metric tons,,,,90000,90000,,,
MCS2025,Abrasives,Brazil,"Plant capacity, fused aluminum oxide",metric tons,,,,50000,50000,,,
MCS2025,Abrasives,China,"Plant capacity, fused aluminum oxide",metric tons,,,,800000,800000,,,
MCS2025,Abrasives,France,"Plant capacity, fused aluminum oxide",metric tons,,,,40000,40000,,,
MCS2025,Abrasives,Germany,"Plant capacity, fused aluminum oxide",metric tons,,,,80000,80000,,,
MCS2025,Abrasives,India,"Plant capacity, fused aluminum oxide",metric tons,,,,40000,40000,,,
MCS2025,Abrasives,Japan,"Plant capacity, fused aluminum oxide",metric tons,,,,15000,15000,,,
MCS2025,Abrasives,Mexico,"Plant capacity, fused aluminum oxide",metric tons,,,,,,,,
MCS2025,Abrasives,Norway,"Plant capacity, fused aluminum oxide",metric tons,,,,,,,,
MCS2025,Abrasives,Venezuela,"Plant capacity, fused aluminum oxide",metric tons,,,,,,,,
MCS2025,Abrasives,Other Countries,"Plant capacity, fused aluminum oxide",metric tons,,,,80000,80000,,,
MCS2025,Abrasives,World total (rounded),"Plant capacity, fused aluminum oxide",metric tons,,,,1310000,1310000,,,
MCS2025,Abrasives,United States,"Plant capacity, silicon carbide",metric tons,,,,40000,40000,,,
MCS2025,Abrasives,United States and Canada,"Plant capacity, silicon carbide",metric tons,,,,,,,,
MCS2025,Abrasives,Australia,"Plant capacity, silicon carbide",metric tons,,,,,,,,
MCS2025,Abrasives,Austria,"Plant capacity, silicon carbide",metric tons,,,,,,,,
MCS2025,Abrasives,Brazil,"Plant capacity, silicon carbide",metric tons,,,,40000,40000,,,
MCS2025,Abrasives,China,"Plant capacity, silicon carbide",metric tons,,,,450000,450000,,,
MCS2025,Abrasives,France,"Plant capacity, silicon carbide",metric tons,,,,20000,20000,,,
MCS2025,Abrasives,Germany,"Plant capacity, silicon carbide",metric tons,,,,35000,35000,,,
MCS2025,Abrasives,India,"Plant capacity, silicon carbide",metric tons,,,,5000,5000,,,
MCS2025,Abrasives,Japan,"Plant capacity, silicon carbide",metric tons,,,,60000,60000,,,
MCS2025,Abrasives,Mexico,"Plant capacity, silicon carbide",metric tons,,,,45000,45000,,,
MCS2025,Abrasives,Norway,"Plant capacity, silicon carbide",metric tons,,,,80000,80000,,,
MCS2025,Abrasives,Venezuela,"Plant capacity, silicon carbide",metric tons,,,,30000,30000,,,
MCS2025,Abrasives,Other Countries,"Plant capacity, silicon carbide",metric tons,,,,200000,200000,,,
MCS2025,Abrasives,World total (rounded),"Plant capacity, silicon carbide",metric tons,,,,1010000,1010000,,,
MCS2025,Aluminum,United States,"Smelter production, aluminum",thousand metric tons,750,670,,1360,1360,,,
MCS2025,Aluminum,Australia,"Smelter production, aluminum",thousand metric tons,1560,1500,,1730,1730,,,
MCS2025,Aluminum,Bahrain,"Smelter production, aluminum",thousand metric tons,1620,1600,,1600,1600,,,
